Univ	1779	1780	1781	1782	1783	1784	1785	1786	1787	1788	1789	1790	1791	1792	1793	1794	1795	1796	1797	1798	1799
Irache	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Jena	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Kassa	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Kassel	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Kiel 	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Köln	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F
Königsberg	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Laguna	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Leiden	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC
Leuven	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F
Linz	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Lleida	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Lucca	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Lund	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL	PL
Macerata	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Mainz	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	F	F
Milano	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 	C 
Modena	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Molsheim	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Mondovi	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Montauban	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Montbéliard	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Montpellier	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Moskva	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
Münster-Westfalen	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Nagyszombat	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Nancy	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Nantes	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Nice	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Nijmegen	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Olomouc	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Oñate	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Orihuela	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Osnabrück	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Osuna	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Oviedo	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Paderborn	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Padova	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Palma de Mallorca	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Pamplona	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Paris	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Pau	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Perpignan	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Perugia	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
Poitiers	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Pont-à-Mousson	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Pozsony	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Reims	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Rennes	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	F	F	F	F	F	F
Rome Curie	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Sahagùn	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F
Saint-Peterburg	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
